Group,List,Item,Sentence,Image,Condition,Link
1,1,1,The apple is cored.,apple cored xx.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1FIwYR7oVqjBMlE
1,1,2,The banana isn't peeled.,applepeeled false xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3elhEpUnODT1gOy
1,1,3,The apricots aren't dried.,apricots fresh xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_37oSgPy6geHj76u
1,1,4,The balloon is blown up.,balloonnotblowup 1xx true.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_ai7jV9DPOr7Q2eG
1,1,5,The beer glass is empty.,beerglass full xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_42h3dlulnWREhfg
1,1,6,The bike isn't folded.,bike open xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4O6XNLqw5Sdp1iu
1,1,7,The blackboard isn't clean.,blackboard clean xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_87FdH2brUntAcey
1,1,8,The boots are clean.,bootsdirty false xx.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4UBudiySyYj6k74
1,1,9,The bread is sliced.,breadnotsliced xx1 false.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_efgKkjQjwZBG6t8
1,1,10,The British flag isn't still.,Britishflag still xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9sn81qK8XJMegS2
1,1,11,The cabinet isn't closed.,cabinetnotclosed true xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cTSVE7GNitGE3Ge
1,1,12,The candle is lit.,candlenotlit 1xx true.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cSC6w4MczLGF9Qi
1,1,13,The cardboard box is open.,cardboardboxnotopen true xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cwloNPeKXJxtZIy
1,1,14,The carrots aren't diced.,carrots whole xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2m04KooCPDHZGE6
1,1,15,The CD isn't scratched.,cdnotscratched false xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6marPwbyANwJAx0
1,1,16,The chair is folded.,chairnotfolded xx1 false.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5dno8QogrnQSBFk
1,1,17,The chicken is cooked.,chicken cooked xx.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6ri0pCMSIawFZaK
1,1,18,The chocolate cake isn't sliced.,chocolatecakesliced 1xx true.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b4vSNl3dJXS51CS
1,1,19,The coke can isn't squashed.,cokecan new xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_7ZGt4ha48X3Bxsi
1,1,20,The cricket bat is broken.,cricketbatbroken false xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_7V9CIHjrALm3cge
1,1,21,The cupcake is iced.,cupcake plain xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3Rfp7wrBQy6H5zM
1,1,22,The cup isn't full.,cupfull false xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6lrxMWPMWcrlC9U
1,1,23,The desk isn't messy.,desk messy xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6R3bJRQI9uSISDY
1,1,24,The dictionary is closed.,dictionaryclosed 1xx true.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eyfL4YwNKShBfj8
1,1,25,The dishes are clean.,dishes washed xx.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b44ru0hgHkpK1Yq
1,1,26,The egg isn't cracked.,eggnotcracked 1xx false.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_7UmqfDEkza8VJxs
1,1,27,The envelop isn't sealed.,envelopnotsealed 1xx true.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2u92rygeejGqaRo
1,1,28,The fireplace is lit.,fireplacenotlit true xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0jNaJR0ueghujl4
1,1,29,The football is blown up.,footballnotblowup true xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_7Qk3dmHw0E92k0S
1,1,30,The frying pan isn't full.,fryingpanempty true xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3t37gVwLmkXIOa2
1,1,31,The garlic isn't chopped.,garlic chopped xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5gS0LyrIUkf3fmu
1,1,32,The glass is empty.,glassnotempty false xx.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6FsHGzbIuKA3fN4
1,1,33,The glove is dry.,glove dry xx.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_ehTcyOgISmGtcdU
1,1,34,The helicopter isn't airborne.,helicopter airborne xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cFHeYQ2f3ddrw7Y
1,1,35,The ice cream isn't melted.,icecreamnotmelted true xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_78aG9Nt0WhdNMrk
1,1,36,The jar is sealed.,jar open xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6ndjbDZy9IVySsC
1,1,37,The jeans are crumpled.,jeansnotcrumpled true xx.png,FA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0oo3fhNEebrAIHY
1,1,38,The laptop isn't plugged in.,laptop notplugged xx.png,TN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aa4bShasoyQ14Jo
1,1,39,The lorry isn't dirty.,lorryclean false xx.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3aycqgIp49yYAjY
1,1,40,The map is closed.,map closed xx.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_a5mST6bUqaUuBQa
1,1,41,The oil painting is framed.,oilpaintingframed x1x true.png,TA,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eA46TMCuSusJPts
1,1,42,The orange isn't peeled.,orangenotpeeled xx1 false.png,FN,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_ba2u7kszHqSiyMe
