Group,List,Item,Sentence,Image,Condition,CA,Link
1,1,,The butterfly is flying.,practice-butterfllynotflying false xx.png,TA,1T,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0UOAKExENeYUj9c
1,1,,The peppers aren't diced.,practice-peppers diced xx.png,FN,0F,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_diNs8JjJHRkOZQG
1,1,,The water bottle isn't closed.,practice-waterbottle open xx.png,TN,0F,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6SxeE1jVOiDhpoG
1,1,,The yoga mat is rolled.,practice-yogamatnotrolled 1xx true.png,FA,0F,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dmzKHOjHpNfvQnc
2,2,,The butterfly is flying.,practice-butterfllynotflying true xx.png,FA,0F,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3xTGhPF1QHTHySO
2,2,,The water bottle isn't closed.,practice-waterbottle closed xx.png,FN,0F,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6Ala7EVUlkfpv2C
2,2,,The yoga mat is rolled.,practice-yogamatnotrolled 1xx false.png,TA,1T,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4TNjz9OujscbxEG
2,2,,The peppers aren't diced.,practice-peppers whole xx.png,TN,1T,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_ebQMUsk8kseBjLw
3,3,,The butterfly isn't flying.,practice-butterfllynotflying true xx.png,TN,1T,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3xTGhPF1QHTHySO
3,3,,The peppers are diced.,practice-peppers whole xx.png,FA,0F,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_ebQMUsk8kseBjLw
3,3,,The water bottle is closed.,practice-waterbottle closed xx.png,TA,1T,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6Ala7EVUlkfpv2C
3,3,,The yoga mat isn't rolled.,practice-yogamatnotrolled 1xx false.png,FN,0F,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4TNjz9OujscbxEG
4,4,,The butterfly isn't flying.,practice-butterfllynotflying false xx.png,FN,0F,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0UOAKExENeYUj9c
4,4,,The peppers are diced.,practice-peppers diced xx.png,TA,1T,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_diNs8JjJHRkOZQG
4,4,,The water bottle is closed.,practice-waterbottle open xx.png,FA,0F,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6SxeE1jVOiDhpoG
4,4,,The yoga mat isn't rolled.,practice-yogamatnotrolled 1xx true.png,TN,1T,https://uclpsych.eu.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dmzKHOjHpNfvQnc
